Channel Name,Physical Channel,Selection
Sw1,cRIO 9034/Mod1/DI0,1
Sw2,cRIO 9034/Mod1/DI1,1
Sw3,cRIO 9034/Mod1/DI2,1
Sw4,cRIO 9034/Mod1/DI3,1
Sw5,cRIO 9034/Mod1/DI4,1
Sw6,cRIO 9034/Mod1/DI5,1
Sw7,cRIO 9034/Mod1/DI6,1
Sw8,cRIO 9034/Mod1/DI7,1
Sw9,cRIO 9034/Mod1/DI8,1
Sw10,cRIO 9034/Mod1/DI9,1
Sw11,cRIO 9034/Mod1/DI10,1
Sw12,cRIO 9034/Mod1/DI11,1
Sw13,cRIO 9034/Mod1/DI12,1
Sw14,cRIO 9034/Mod1/DI13,1
Sw15,cRIO 9034/Mod1/DI14,1
Sw16,cRIO 9034/Mod1/DI15,1
Sw17,cRIO 9034/Mod1/DI16,1
Sw18,cRIO 9034/Mod1/DI17,1
Sw19,cRIO 9034/Mod1/DI18,1
Sw20,cRIO 9034/Mod1/DI19,1
Sw21,cRIO 9034/Mod1/DI20,1
Sw22,cRIO 9034/Mod1/DI21,1
Sw23,cRIO 9034/Mod1/DI22,1
Sw24,cRIO 9034/Mod1/DI23,1
Sw25,cRIO 9034/Mod1/DI24,1
Sw26,cRIO 9034/Mod1/DI25,1
Sw27,cRIO 9034/Mod1/DI26,1
Sw28,cRIO 9034/Mod1/DI27,1
Sw29,cRIO 9034/Mod1/DI28,1
Sw30,cRIO 9034/Mod1/DI29,1
Sw31,cRIO 9034/Mod1/DI30,1
Sw32,cRIO 9034/Mod1/DI31,1
Sw33,cRIO 9034/Mod2/DI0,1
Sw34,cRIO 9034/Mod2/DI1,1
Sw35,cRIO 9034/Mod2/DI2,1
Sw36,cRIO 9034/Mod2/DI3,1
Sw37,cRIO 9034/Mod2/DI4,1
Sw38,cRIO 9034/Mod2/DI5,1
Sw39,cRIO 9034/Mod2/DI6,1
Sw40,cRIO 9034/Mod2/DI7,1
Sw41,cRIO 9034/Mod2/DI8,1
Sw42,cRIO 9034/Mod2/DI9,1
Sw43,cRIO 9034/Mod2/DI10,1
Sw44,cRIO 9034/Mod2/DI11,1
Sw45,cRIO 9034/Mod2/DI12,1
Sw46,cRIO 9034/Mod2/DI13,1
Sw47,cRIO 9034/Mod2/DI14,1
Sw48,cRIO 9034/Mod2/DI15,1
Sw49,cRIO 9034/Mod2/DI16,1
Sw50,cRIO 9034/Mod2/DI17,1
Sw51,cRIO 9034/Mod2/DI18,1
Sw52,cRIO 9034/Mod2/DI19,1
Sw53,cRIO 9034/Mod2/DI20,1
Sw54,cRIO 9034/Mod2/DI21,1
Sw55,cRIO 9034/Mod2/DI22,1
Sw56,cRIO 9034/Mod2/DI23,1
Sw57,cRIO 9034/Mod2/DI24,1
Sw58,cRIO 9034/Mod2/DI25,1
Sw59,cRIO 9034/Mod2/DI26,1
Sw60,cRIO 9034/Mod2/DI27,1
Spare,cRIO 9034/Mod2/DI28,0
Spare,cRIO 9034/Mod2/DI29,0
Spare,cRIO 9034/Mod2/DI30,0
Spare,cRIO 9034/Mod2/DI31,0
Spare,cRIO9034/Mod3/DI0,0
Spare,cRIO9034/Mod3/DI1,0
Spare,cRIO9034/Mod3/DI2,0
Spare,cRIO9034/Mod3/DI3,0
Spare,cRIO9034/Mod3/DI4,0
Spare,cRIO9034/Mod3/DI5,0
Spare,cRIO9034/Mod3/DI6,0
Spare,cRIO9034/Mod3/DI7,0
Spare,cRIO9034/Mod3/DI8,0
Spare,cRIO9034/Mod3/DI9,0
Spare,cRIO9034/Mod3/DI10,0
Spare,cRIO9034/Mod3/DI11,0
Spare,cRIO9034/Mod3/DI12,0
Spare,cRIO9034/Mod3/DI13,0
Spare,cRIO9034/Mod3/DI14,0
Spare,cRIO9034/Mod3/DI15,0
Spare,cRIO9034/Mod3/DI16,0
Spare,cRIO9034/Mod3/DI17,0
Spare,cRIO9034/Mod3/DI18,0
Spare,cRIO9034/Mod3/DI19,0
Spare,cRIO9034/Mod3/DI20,0
Spare,cRIO9034/Mod3/DI21,0
Spare,cRIO9034/Mod3/DI22,0
Spare,cRIO9034/Mod3/DI23,0
Spare,cRIO9034/Mod3/DI24,0
Spare,cRIO9034/Mod3/DI25,0
Spare,cRIO9034/Mod3/DI26,0
Spare,cRIO9034/Mod3/DI27,0
Spare,cRIO9034/Mod3/DI28,0
Spare,cRIO9034/Mod3/DI29,0
Spare,cRIO9034/Mod3/DI30,0
Spare,cRIO9034/Mod3/DI31,0
